Nº de referencia,Asociación de tabla,Clave ajena,Desactivado,Descripción,Fecha de creación,Fecha de última actualización,ID de archivo anexo,Índice de palabras clave,Nombre,Nombre de archivo de usuario ,Nombre de archivo local,Privado,Secuencia,Tamaño,Tipo,Tipo de contenido
160630-000057,Incidentes,486,,,'2016-06-30 16:00:55','2016-06-30 16:00:55',689,,,raw_message.mht,0630/3146731325719449-2vr1tf,,,216358,,text/html
160630-000058,Incidentes,487,,,'2016-06-30 16:01:00','2016-06-30 16:01:00',690,,,raw_message.mht,0630/0146731326019613-LOmRqy,,,13644,,text/html
160630-000059,Incidentes,488,,,'2016-06-30 16:15:52','2016-06-30 16:15:52',692,,,raw_message.mht,0630/0146731415331094-jGtQ7j,,,93444,,text/html
160630-000060,Incidentes,489,,,'2016-06-30 16:15:52','2016-06-30 16:15:52',693,,,raw_message.mht,0630/0146731415331129-acE2PO,,,32251,,text/html
160630-000061,Incidentes,490,,,'2016-06-30 16:15:56','2016-06-30 16:15:56',695,,,image001.jpg,0630/0146731415731356-ecjIQS,,,8992,,image/jpeg
160630-000061,Incidentes,490,,,'2016-06-30 16:15:56','2016-06-30 16:15:56',696,,,raw_message.mht,0630/1146731415731356-6Iimyk,,,44714,,text/html
160630-000062,Incidentes,491,,,'2016-06-30 16:15:58','2016-06-30 16:15:58',698,,,raw_message.mht,0630/0146731415931494-U9FKgc,,,30010,,text/html
160630-000065,Incidentes,493,,,'2016-06-30 16:30:51','2016-06-30 16:30:51',706,,,raw_message.mht,0630/014673150521839-EUtVxe,,,117165,,text/html
160630-000067,Incidentes,494,,,'2016-06-30 16:45:51','2016-06-30 16:45:51',707,,,raw_message.mht,0630/0146731595110658-Z2woep,,,10327,,text/html
160630-000070,Incidentes,496,,,'2016-06-30 17:00:58','2016-06-30 17:00:58',713,,,raw_message.mht,0630/0146731685917928-5XoBhG,,,10030,,text/html
160630-000071,Incidentes,497,,,'2016-06-30 17:00:58','2016-06-30 17:00:58',714,,,raw_message.mht,0630/0146731685917908-ytUleX,,,112455,,text/html
160630-000072,Incidentes,498,,,'2016-06-30 17:01:05','2016-06-30 17:01:05',716,,,raw_message.mht,0630/0146731686718271-sYAXnv,,,41341,,text/html
160630-000074,Incidentes,499,,,'2016-06-30 17:33:52','2016-06-30 17:33:52',721,,,raw_message.mht,0630/0146731883226858-NCgA1D,,,90981,,text/html
160630-000075,Incidentes,500,,,'2016-06-30 18:04:03','2016-06-30 18:04:03',725,,,raw_message.mht,0630/0146732064428660-0H5U32,,,10998,,text/html
160630-000076,Incidentes,501,,,'2016-06-30 18:04:04','2016-06-30 18:04:04',728,,,raw_message.mht,0630/0146732064429475-N0IyjW,,,128969,,text/html
160630-000077,Incidentes,502,,,'2016-06-30 18:30:53','2016-06-30 18:30:53',729,,,raw_message.mht,0630/014673222545526-e3RAV6,,,15722,,text/html
160630-000078,Incidentes,503,,,'2016-06-30 18:30:53','2016-06-30 18:30:53',730,,,raw_message.mht,0630/014673222545533-pP4AQm,,,10721,,text/html
160630-000079,Incidentes,504,,,'2016-06-30 18:45:50','2016-06-30 18:45:50',731,,,raw_message.mht,0630/0146732315118440-cFfLb8,,,16089,,text/html
160630-000080,Incidentes,505,,,'2016-06-30 18:45:50','2016-06-30 18:45:50',732,,,raw_message.mht,0630/0146732315118450-6dtjko,,,12817,,text/html
160630-000080,Incidentes,505,,,'2016-07-06 10:41:14','2016-07-06 10:41:14',1319,,,Certificado cobertura - PKX693.pdf,0706/014678124744778-v2hdhM,,,67921,,application/pdf
160630-000080,Incidentes,505,,,'2016-07-06 10:41:14','2016-07-06 10:41:14',1320,,,Certificado cobertura - PDM319.pdf,0706/114678124744778-aWBwqe,,,67945,,application/pdf
160630-000080,Incidentes,505,,,'2016-07-06 10:41:14','2016-07-06 10:41:14',1321,,,Certificado cobertura - ORV798.pdf,0706/214678124754778-nPzvaH,,,67940,,application/pdf
160630-000080,Incidentes,505,,,'2016-07-06 10:41:14','2016-07-06 10:41:14',1322,,,Certificado cobertura - NZF480.pdf,0706/314678124754778-7C3Jxa,,,67940,,application/pdf
160630-000081,Incidentes,506,,,'2016-06-30 19:00:52','2016-06-30 19:00:52',733,,,raw_message.mht,0630/0146732405222426-QUlQ7Y,,,16449,,text/html
160630-000082,Incidentes,507,,,'2016-06-30 19:30:49','2016-06-30 19:30:49',734,,,raw_message.mht,0630/0146732585031505-1OSNCV,,,15317,,text/html
160630-000083,Incidentes,508,,,'2016-06-30 19:45:46','2016-06-30 19:45:46',735,,,raw_message.mht,0630/0146732674720740-lZk0y7,,,20716,,text/html
160630-000085,Incidentes,510,,,'2016-06-30 20:15:46','2016-06-30 20:15:46',738,,,raw_message.mht,0630/0146732854627354-mwos0m,,,71409,,text/html
160630-000086,Incidentes,511,,,'2016-06-30 20:15:46','2016-06-30 20:15:46',739,,,raw_message.mht,0630/0146732854727375-ZDeslB,,,10095,,text/html
160630-000087,Incidentes,512,,,'2016-06-30 20:30:47','2016-06-30 20:30:47',740,,,raw_message.mht,0630/0146732944718291-2PmUi2,,,16698,,text/html
160630-000088,Incidentes,513,,,'2016-06-30 20:45:42','2016-06-30 20:45:42',741,,,raw_message.mht,0630/0146733034230914-mhOT0H,,,46019,,text/html
160630-000089,Incidentes,514,,,'2016-06-30 21:00:45','2016-06-30 21:00:45',742,,,raw_message.mht,0630/0146733124517922-VMTAfC,,,10059,,text/html
160630-000090,Incidentes,515,,,'2016-06-30 21:00:45','2016-06-30 21:00:45',745,,,raw_message.mht,0630/0146733124617956-3cWvrg,,,84682,,text/html
160630-000091,Incidentes,516,,,'2016-06-30 21:15:45','2016-06-30 21:15:45',748,,,raw_message.mht,0630/0146733214622580-xSPBDt,,,37561,,text/html
160630-000092,Incidentes,517,,,'2016-06-30 21:15:46','2016-06-30 21:15:46',749,,,raw_message.mht,0630/0146733214722609-Fr3N0U,,,81098,,text/html
160630-000093,Incidentes,518,,,'2016-06-30 21:30:44','2016-06-30 21:30:44',751,,,raw_message.mht,0630/0146733304411870-7LsLZL,,,10426,,text/html
160630-000094,Incidentes,519,,,'2016-06-30 21:30:44','2016-06-30 21:30:44',752,,,raw_message.mht,0630/0146733304511912-WDMxbe,,,36903,,text/html
160630-000095,Incidentes,520,,,'2016-06-30 22:15:48','2016-06-30 22:15:48',753,,,raw_message.mht,0630/0146733574826901-FsK3ZU,,,13116,,text/html
160701-000000,Incidentes,521,,,'2016-07-01 02:15:46','2016-07-01 02:15:46',758,,,raw_message.mht,0701/0146735014615141-mRXYm2,,,106984,,text/html
160701-000002,Incidentes,522,,,'2016-07-01 07:15:50','2016-07-01 07:15:50',759,,,raw_message.mht,0701/0146736815029462-Uh8EMa,,,18753,,text/html
160701-000003,Incidentes,523,,,'2016-07-01 08:15:51','2016-07-01 08:15:51',763,,,SEGURO AUTOMOTOR.docx,0701/0146737175210246-lFFDFO,,,13318,,application/vnd.openxmlformats-officedocument.wordprocessingml.document
160701-000003,Incidentes,523,,,'2016-07-01 08:15:51','2016-07-01 08:15:51',764,,,raw_message.mht,0701/1146737175210246-xqgWZf,,,57518,,text/html
160701-000004,Incidentes,524,,,'2016-07-01 08:30:50','2016-07-01 08:30:50',766,,,raw_message.mht,0701/0146737265018053-cpX3V1,,,32720,,text/html
160701-000005,Incidentes,525,,,'2016-07-01 09:00:55','2016-07-01 09:00:55',767,,,raw_message.mht,0701/0146737445532416-VqWMzl,,,10529,,text/html
160701-000007,Incidentes,527,,,'2016-07-01 09:15:52','2016-07-01 09:15:52',769,,,raw_message.mht,0701/0146737535223802-3TloGN,,,15547,,text/html
160701-000008,Incidentes,528,,,'2016-07-01 09:15:52','2016-07-01 09:15:52',770,,,raw_message.mht,0701/0146737535223807-zzpfup,,,22471,,text/html
160701-000009,Incidentes,529,,,'2016-07-01 09:15:53','2016-07-01 09:15:53',771,,,raw_message.mht,0701/0146737535423893-K2Plfc,,,34411,,text/html
160701-000010,Incidentes,530,,,'2016-07-01 09:15:54','2016-07-01 09:15:54',772,,,raw_message.mht,0701/0146737535523972-SKCP0w,,,21329,,text/html
160701-000011,Incidentes,531,,,'2016-07-01 09:15:57','2016-07-01 09:15:57',773,,,raw_message.mht,0701/0146737535824152-xuEkEh,,,10185,,text/html
160701-000012,Incidentes,532,,,'2016-07-01 09:15:59','2016-07-01 09:15:59',774,,,raw_message.mht,0701/0146737536024261-tlDsLq,,,16930,,text/html
160701-000015,Incidentes,533,,,'2016-07-01 09:30:52','2016-07-01 09:30:52',775,,,raw_message.mht,0701/0146737625316672-IDX0WX,,,10204,,text/html
160701-000016,Incidentes,534,,,'2016-07-01 09:30:52','2016-07-01 09:30:52',776,,,Presupuesto Mecánica Diego 280616.JPG,0701/0146737625316655-XH2cMm,,,1496373,,image/jpeg
160701-000016,Incidentes,534,,,'2016-07-01 09:30:52','2016-07-01 09:30:52',777,,,Presupuesto Chapa y Pintura 240616.JPG,0701/1146737625316655-9Jb4D3,,,1338437,,image/jpeg
160701-000016,Incidentes,534,,,'2016-07-01 09:30:52','2016-07-01 09:30:52',778,,,Denuncia.pdf,0701/2146737625316655-2SdzZK,,,59606,,application/pdf
160701-000016,Incidentes,534,,,'2016-07-01 09:30:52','2016-07-01 09:30:52',779,,,Amuin 30062016.pdf,0701/3146737625316655-LNcDls,,,44260,,application/pdf
160701-000016,Incidentes,534,,,'2016-07-01 09:30:52','2016-07-01 09:30:52',780,,,raw_message.mht,0701/4146737625316655-9E7cja,,,12942515,,text/html
160701-000022,Incidentes,537,,,'2016-07-01 09:45:47','2016-07-01 09:45:47',783,,,raw_message.mht,0701/014673771488010-ctmDww,,,25977,,text/html
160701-000023,Incidentes,538,,,'2016-07-01 09:45:47','2016-07-01 09:45:47',784,,,plantilla vw.jpg,0701/014673771487996-CFGJ09,,,227690,,image/jpeg
160701-000023,Incidentes,538,,,'2016-07-01 09:45:47','2016-07-01 09:45:47',785,,,plantilla tom.jpg,0701/114673771487996-0nY0eo,,,227320,,image/jpeg
160701-000023,Incidentes,538,,,'2016-07-01 09:45:47','2016-07-01 09:45:47',786,,,plantilla europa.jpg,0701/214673771487996-bbE7uC,,,275958,,image/jpeg
160701-000023,Incidentes,538,,,'2016-07-01 09:45:47','2016-07-01 09:45:47',787,,,plantilla eeuu.jpg,0701/314673771487996-nry0MQ,,,263940,,image/jpeg
160701-000023,Incidentes,538,,,'2016-07-01 09:45:47','2016-07-01 09:45:47',788,,,plantilla eeuu - copia.jpg,0701/414673771487996-SIgT64,,,263940,,image/jpeg
160701-000023,Incidentes,538,,,'2016-07-01 09:45:47','2016-07-01 09:45:47',789,,,plantilla carminat.jpg,0701/514673771487996-35Fzsj,,,283776,,image/jpeg
160701-000023,Incidentes,538,,,'2016-07-01 09:45:47','2016-07-01 09:45:47',790,,,plantilla brasil.jpg,0701/614673771497996-l3qTPx,,,247805,,image/jpeg
160701-000023,Incidentes,538,,,'2016-07-01 09:45:47','2016-07-01 09:45:47',791,,,plantilla auto.jpg,0701/714673771497996-MOGSeM,,,272992,,image/jpeg
160701-000023,Incidentes,538,,,'2016-07-01 09:45:47','2016-07-01 09:45:47',792,,,cartanautica_intro_1 copia.jpg,0701/814673771497996-C9rZF0,,,92706,,image/jpeg
160701-000023,Incidentes,538,,,'2016-07-01 09:45:47','2016-07-01 09:45:47',793,,,descarga copia.jpg,0701/914673771497996-x5927e,,,37255,,image/jpeg
160701-000023,Incidentes,538,,,'2016-07-01 09:45:47','2016-07-01 09:45:47',794,,,gps tarjeta copia2.jpg,0701/1014673771497996-f6iCCt,,,445896,,image/jpeg
160701-000023,Incidentes,538,,,'2016-07-01 09:45:47','2016-07-01 09:45:47',795,,,raw_message.mht,0701/1114673771497996-Pe7YGI,,,3638784,,text/html
160701-000024,Incidentes,540,,,'2016-07-01 10:00:56','2016-07-01 10:00:56',798,,,image001.png,0701/0146737805721063-RIp1Ll,,,7283,,image/png
160701-000024,Incidentes,540,,,'2016-07-01 10:00:56','2016-07-01 10:00:56',799,,,raw_message.mht,0701/1146737805821063-mjmR4n,,,56761,,text/html
160701-000024,Incidentes,540,,,'2016-07-05 09:00:55','2016-07-05 09:00:55',1113,,,image001.png,0705/0146772005612409-y2rQUz,,,7283,,image/png
160701-000024,Incidentes,540,,,'2016-07-05 09:15:48','2016-07-05 09:15:48',1118,,,image001.png,0705/0146772094921622-ozKGSH,,,7283,,image/png
160701-000027,Incidentes,542,,,'2016-07-01 10:15:52','2016-07-01 10:15:52',801,,,raw_message.mht,0701/0146737895315430-SBwEnm,,,47607,,text/html
160701-000031,Incidentes,544,,,'2016-07-01 10:30:55','2016-07-01 10:30:55',806,,,RESUMEN  VISA ABRIL2016.pdf,0701/0146737985621339-muxi2s,,,161403,,application/pdf
160701-000031,Incidentes,544,,,'2016-07-01 10:30:55','2016-07-01 10:30:55',807,,,PTDC0070.jpg,0701/1146737985721339-KpFr28,,,1028371,,image/jpeg
160701-000031,Incidentes,544,,,'2016-07-01 10:30:55','2016-07-01 10:30:55',808,,,raw_message.mht,0701/2146737985721339-Qyx1Yy,,,2722970,,text/html
160701-000038,Incidentes,548,,,'2016-07-01 11:15:52','2016-07-01 11:15:52',810,,,raw_message.mht,0701/0146738255329232-ppk2mW,,,16126,,text/html
160701-000039,Incidentes,549,,,'2016-07-01 11:15:52','2016-07-01 11:15:52',811,,,raw_message.mht,0701/0146738255329242-DPjOka,,,15634,,text/html
160701-000042,Incidentes,552,,,'2016-07-01 11:45:53','2016-07-01 11:45:53',812,,,raw_message.mht,0701/0146738435330481-y9aN1i,,,10431,,text/html
160701-000043,Incidentes,553,,,'2016-07-01 11:45:53','2016-07-01 11:45:53',813,,,raw_message.mht,0701/0146738435430490-coVRRp,,,10675,,text/html
160701-000044,Incidentes,554,,,'2016-07-01 12:00:59','2016-07-01 12:00:59',814,,,raw_message.mht,0701/014673852598223-U4Nq0E,,,10568,,text/html
160701-000045,Incidentes,555,,,'2016-07-01 12:00:59','2016-07-01 12:00:59',815,,,raw_message.mht,0701/014673852608229-8uMw3O,,,10425,,text/html
160701-000046,Incidentes,556,,,'2016-07-01 12:30:55','2016-07-01 12:30:55',816,,,raw_message.mht,0701/0146738705525046-k2FRyX,,,16393,,text/html
160701-000047,Incidentes,557,,,'2016-07-01 12:30:55','2016-07-01 12:30:55',817,,,raw_message.mht,0701/0146738705525066-GY07Kl,,,41961,,text/html
160701-000048,Incidentes,558,,,'2016-07-01 13:01:00','2016-07-01 13:01:00',818,,,raw_message.mht,0701/014673888618314-cEszyg,,,10207,,text/html
